AJUSTES POR TASA DE CAMBIO - ADMINISTRACION CENTRAL- Junio de 2018-Cifras en COP y USD;;;;;;;
TRM;2930,8;;;;;;
TASA EURO;1,1658;;;;;;
Créditos;"Saldo inicial
en COP";Amortizaciones en COP;"Desembolsos 
en COP";"Saldo final 
en USD";Tasa de cambio;"Saldo final
en COP";Ajustes por tasa de cambio
EXTERNOS 2028;5,78577E+11;0;0;300000000;1929;5,78577E+11;0
KFW - 2007;9118193488;228738819;0;3066731;2931;8987974336;98519667
ICO 774;14728461429;0;0;5097553;2931;14939907922;211446493
BID 1385 ;11176656528;0;0;3868265;2931;11337112176;160455648
BID 1812 ;1,18707E+11;4196173954;0;39617277;2931;1,1611E+11;1599980411
BIRF 7162 -Tasa fija  9,38%;25216365715;0;0;11328107;2226;25216365715;0
BIRF 7162 -Tasa fija  9,30%;7106807434;0;0;3150181;2256;7106807434;0
BIRF 7162 -Tasa fija  5,90%;1251200001;0;0;647619;1932;1251200001;0
BIRF 7365 -Tasa fija  8,02%;5071638986;0;0;2257071;2247;5071638986;0
BIRF 7365 ;66862693525;0;0;23141325;2931;67822595691;959902166
CAF4081;78733970000;5123422500;0;25500000;2931;74735400000;1124852500
CAF 4536;92169308000;5628892500;0;29975000;2931;87850730000;1310314500
IFC 26473;65009700000;4289670000;0;21000000;2931;61546800000;826770000
